code;classification
A;Пищеварительный тракт и обмен веществ
A01;Стоматологические препараты
A01A;Стоматологические препараты
A01AA;Препараты для профилактики кариеса
A01AA01;Sodium fluoride
A01AA02;Sodium monofluorophosphate
A01AA03;Olaflur
A01AA04;Stannous fluoride
A01AA30;Комбинированные препараты
A01AA51;Фторид натрия в комбинации с другими препаратами
A01AB;Противомикробные препараты для местного применения при заболеваниях полости рта
A01AB02;Hydrogen peroxide
A01AB03;Chlorhexidine
A01AB04;Amphotericin
A01AB05;Polynoxylin
A01AB06;Domiphen
A01AB07;Oxyquinoline
A01AB08;Neomycin
A01AB09;Miconazole
A01AB10;Natamycin
A01AB11;Прочие противомикробные препараты
A01AB12;Hexetidine
A01AB13;Tetracycline
A01AB14;Benzoxonium chloride
A01AB15;Tibezonium iodide
A01AB16;Mepartricin
A01AB17;Metronidazole
A01AB18;Clotrimazole
A01AB19;Sodium perborate
A01AB21;Chlortetracycline
A01AB22;Doxycycline
A01AB23;Minocycline
A01AC;Кортикостероиды для местного применения при заболеваниях полости рта
A01AC01;Triamcinolone
A01AC02;Dexamethasone
A01AC03;Hydrocortisone
A01AC54;Преднизолон в комбинации с другими препаратами
A01AD;Прочие препараты для местного применения при заболеваниях полости рта
A01AD01;Epinephrine
A01AD02;Benzydamine
A01AD05;Acetylsalicylic acid
A01AD06;Adrenalone
A01AD07;Amlexanox
A01AD08;Becaplermin
A01AD11;Прочие препараты для местного применения при заболеваниях полости рта
A02;Препараты, применяемые при состояниях, связанных с нарушениями кислотности
A02A;Антациды
A02AA;Соединения магния
A02AA01;Magnesium carbonate
A02AA02;Magnesium oxide
A02AA03;Magnesium peroxide
A02AA04;Magnesium hydroxide
A02AA05;Magnesium silicate
A02AA10;Комбинация соединений магния
A02AB;Соединения алюминия
A02AB01;Aluminium hydroxide
A02AB02;Algeldrate
A02AB03;Aluminium phosphate
A02AB04;Dihydroxialumini sodium carbonate
A02AB05;Aluminium acetoacetate
A02AB06;Aloglutamol
A02AB07;Aluminium glycinate
A02AB10;Комбинация соединений алюминия
A02AC;Соединения кальция
A02AC01;Calcium carbonate
A02AC02;Calcium silicate
A02AC10;Комбинация соединений кальция
A02AD;Комбинации и комплексы соединений алюминия, кальция и магния
A02AD01;Стандартные комбинации соединений
A02AD02;Magaldrate
A02AD03;Almagate
A02AD04;Hydrotalcite
A02AD05;Almasilate
A02AF;Антациды в комбинации с препаратами, уменьшающими газообразование в кишечнике
A02AF01;Магалдрат в комбинации с препаратами, уменьшающими газообразование в кишечнике
A02AF02;Стандартные комбинации соединений в сочетании с препаратами, уменьшающими газообразование в кишечнике
A02AG;Антациды в комбинации со спазмолитиками
A02AH;Антациды в комбинации с натрия бикарбонатом
A02AX;Антациды, другие комбинации
A02B;Противоязвенные средства и препараты, применяемые при гастроэзофагеальном рефлюксе
A02BA;Блокаторы гистаминовых H2-рецепторов
A02BA01;Cimetidine
A02BA02;Ranitidine
A02BA03;Famotidine
A02BA04;Nizatidine
A02BA05;Niperotidine
A02BA06;Roxatidine
A02BA07;Ranitidine bismuth citrate
A02BA08;Lafutidine
A02BA51;Циметидин в комбинации с другими препаратами
A02BA53;Фамотидин в комбинации с другими препаратами
A02BB;Простагландины
A02BB01;Misoprostol
A02BB02;Enprostil
A02BC;Ингибиторы протонового насоса
A02BC01;Omeprazole
A02BC02;Pantoprazole
A02BC03;Lansoprazole
A02BC04;Rabeprazole
A02BC05;Esomeprazole
A02BC06;Dexlansoprazole
A02BD;Комбинации препаратов для эрадикации Helicobacter pylori
A02BD01;Омепразол, амоксициллин и метронидазол
A02BD02;Лансопразол, тетрациклин и метранидазол
A02BD03;Лансопразол, амоксициллин и метронидазол
A02BD04;Пантопразол, амоксициллин и кларитромицин
A02BD05;Омепразол, амоксициллин и кларитромицин
A02BD06;Эзомепразол, амоксициллин и кларитромицин
A02BD07;Лансопразол, амоксициллин и кларитромицин
A02BD11;Пантопразол, амоксициллин, кларитромицин и метронидазол
A02BX;Прочие противоязвенные препараты
A02BX01;Carbenoxolone
A02BX02;Sucralfate
A02BX03;Pirenzepine
A02BX04;Methiosulfonium chloride
A02BX05;Bismuth subcitrate
A02BX06;Proglumide
A02BX07;Gefarnate
A02BX08;Sulglicotide
A02BX09;Acetoxolone
A02BX10;Zolimidine
A02BX11;Troxipide
A02BX12;Bismuth subnitrate
A02BX13;Alginic acid
A02BX14;Rebamipide
A02BX51;Карбеноксолон в комбинации с другими препаратами (исключая психолептиками)
A02BX71;Карбеноксолон в комбинации с психолептиками
A02BX77;Гефарнат в комбинации с психолептиками
A02X;Другие препараты, применяемые при состояниях, связанных с нарушениями кислотности
A03;Препараты для лечения функциональных нарушений со стороны ЖКТ
A03A;Препараты, применяемые при нарушениях функции кишечника
A03AA;Синтетические холиноблокаторы - эфиры с третичной аминогруппой
A03AA01;Oxyphencyclimine
A03AA03;Camylofin
A03AA04;Mebeverine
A03AA05;Trimebutine
A03AA06;Rociverine
A03AA07;Dicycloverine
A03AA08;Dihexyverine
A03AA09;Difemerine
A03AA30;Piperidolate
A03AB;Синтетические холиноблокаторы - четвертичные аммониевые соединения
A03AB01;Benzilone
A03AB02;Glycopyrronium
A03AB03;Oxyphenonium
A03AB04;Penthienate
A03AB05;Propantheline
A03AB06;Otilonium bromide
A03AB07;Methantheline
A03AB08;Tridihexethyl
A03AB09;Isopropamide
A03AB10;Hexocyclium
A03AB11;Poldine
A03AB12;Mepenzolate
A03AB13;Bevonium
A03AB14;Pipenzolate
A03AB15;Diphemanil
A03AB16;(2-Benzhydryloxyethyl) diethylmethylammonium Iodide
A03AB17;Tiemonium iodide
A03AB18;Prifinium bromide
A03AB19;Timepidium bromide
A03AB20;Trospium
A03AB21;Fenpiverinium
A03AB53;Оксифеноний в комбинации с другими препаратами
A03AC;Синтетические спазмолитики - амиды с третичной аминогруппой
A03AC02;Dimethylaminopropionylphenothiazine
A03AC04;Nicofetamide
A03AC05;Tiropramide
A03AD;Папаверин и его производные
A03AD01;Papaverine
A03AD02;Drotaverine
A03AD30;Moxaverine
A03AD51;Папаверин в комбинации с другими препаратами
A03AE;Препараты, действующие на серотониновые рецепторы
A03AE01;Alosetron
A03AE02;Tegaserod
A03AE04;Prucalopride
A03AX;Другие препараты, применяемые при нарушениях функции кишечника
A03AX01;Fenpiprane
A03AX02;Diisopromine
A03AX03;Chlorbenzoxamine
A03AX04;Pinaverium
A03AX05;Fenoverine
A03AX06;Idanpramine
A03AX07;Proxazole
A03AX08;Alverine
A03AX09;Trepibutone
A03AX10;Isometheptene
A03AX11;Caroverine
A03AX12;Phloroglucinol
A03AX13;Silicones
A03AX30;Trimethyldiphenylpropylamine
A03AX58;Альверин в комбинации с другими препаратами
A03B;Красавка и ее производные
A03BA;Алкалоиды красавки, третичные амины
A03BA01;Atropine
A03BA03;Hyoscyamine
A03BA04;Сумма алкалоидов красавки
A03BB;Полусинтетические алкалоиды красавки, четвертичные аммониевые соединения
A03BB01;Butylscopolamine
A03BB02;Methylatropine
A03BB03;Methylscopolamine
A03BB04;Fentonium
A03BB05;Cimetropium bromide
A03C;Спазмолитики в комбинации с психолептиками
A03CA;Синтетические холиноблокаторы в комбинации с психолептиками
A03CA01;Изопропамид в комбинации с психолептиками
A03CA02;Клидиний в комбинации с психолептиками
A03CA03;Оксифенциклимин в комбинации с психолептиками
A03CA04;Отилоний бромид в комбинации с психолептиками
A03CA05;Гликопирроний в комбинации с психолептиками
A03CA06;Бевоний в комбинации с психолептиками
A03CA07;Амбутоний в комбинации с психолептиками
A03CA08;Дифеманил в комбинации с психолептиками
A03CA30;Эмепроний в комбинации с психолептиками
A03CA34;Пропантелин в комбинации с психолептиками
A03CB;Алкалоиды красавки и их производные в комбинации с психолептиками
A03CB01;Метилскополамин в комбинации с психолептиками
A03CB02;Сумма алкалоидов красавки в комбинации с психолептиками
A03CB03;Атропин в комбинации с психолептиками
A03CB04;Метилгоматропин в комбинации с психолептиками
A03CB31;Гиосциамин в комбинации с психолептиками
A03CC;Прочие спазмолитики в комбинации с психолептиками
A03D;Спазмолитики в комбинации с анальгетиками
A03DA;Синтетические холиноблокаторы в комбинации с анальгетиками
A03DA01;Тропензилон в комбинации с анальгетиками
A03DA02;Питофенон в комбинации с анальгетиками
A03DA03;Бевоний в комбинации с анальгетиками
A03DA04;Циклоний в комбинации с анальгетиками
A03DA05;Камилофин в комбинации с анальгетиками
A03DA06;Троспий в комбинации с анальгетиками
A03DA07;Тиемониум йодид в комбинации с анальгетиками
A03DB;Красавка и ее производные в комбинации с анальгетиками
A03DB04;Бутилскополамин в комбинации с анальгетиками
A03DC;Прочие спазмолитики в комбинации с анальгетиками
A03E;Спазмолитики и холиноблокаторы в комбинации с другими препаратами
A03EA;Спазмолитики, психолептики и анальгетики в комбинации
A03ED;Спазмолитики в комбинации с прочими препаратами
A03F;Стимуляторы моторики ЖКТ
A03FA;Стимуляторы моторики ЖКТ
A03FA01;Метоклопрамид
A03FA03;Domperidone
A04;Противорвотные препараты
A04A;Противорвотные препараты
A04AA;Антагонисты серотониновых 5HT3-рецепторов
A04AA01;Ondansetron
A04AA02;Granisetron
A04AA03;Tropisetron
A04AA04;Dolasetron
A04AA05;Palonosetron
A04AA55;Палоносетрон в комбинации с другими препаратами
A04AD;Прочие противорвотные препараты
A04AD01;Scopolamine
A04AD02;Cerium oxalate
A04AD04;Chlorobutanol
A04AD05;Metopimazine
A04AD10;Dronabinol
A04AD11;Nabilone
A04AD12;Aprepitant
A04AD13;Casopitant
A04AD51;Скополамин в комбинации с другими препаратами
A04AD54;Хлоробутанол в комбинации с другими препаратами
A05;Препараты для лечения заболеваний печени и желчевыводящих путей
A05A;Препараты для лечения заболеваний желчевыводящих путей
A05AA;Препараты желчных кислот
A05AA01;Chenodeoxycholic acid
A05AA02;Ursodeoxycholic acid
A05AA03;Cholic acid
A05AA04;obeticholic acid
A05AB;Препараты для лечения заболеваний желчевыводящих путей
A05AB01;Nicotinyl methylamide
A05AX;Прочие препараты для лечения заболеваний желчевыводящих путей
A05AX01;Piprozolin
A05AX02;Hymecromone
A05AX03;Cyclobutyrol
A05B;Препараты для лечения заболеваний печени, липотропные средства
A05BA;Препараты для лечения заболеваний печени
A05BA01;Arginine glutamate
A05BA03;Silymarin
A05BA04;Citiolone
A05BA05;Epomediol
A05BA06;Ornithine oxoglurate
A05BA07;Tidiacic arginine
A05BA08;Glycyrrhizic acid
A05C;Комбинация препаратов для лечения заболеваний печени и желчевыводящих путей
A06;Слабительные препараты
A06A;Слабительные препараты
A06AA;Препараты, способствующие смягчению каловых масс
A06AA01;Liquid paraffin
A06AA02;Docusate sodium
A06AA51;Парафин жидкий в комбинации с другими препаратами
A06AB;Контактные слабительные препараты
A06AB01;Oxyphenisatine
A06AB02;Bisacodyl
A06AB03;Dantron
A06AB04;Phenolphthalein
A06AB05;Castor oil
A06AB06;Senna glycosides
A06AB07;Cascara
A06AB08;Sodium picosulfate
A06AB09;Bisoxatin
A06AB20;Комбинация контактных слабительных препаратов
A06AB30;Комбинация контактных слабительных препаратов с алкалоидами красавки
A06AB52;Бисакодил в комбинации с другими препаратами
A06AB53;Дантрон в комбинации с другими препаратами
A06AB56;Гликозиды сенны в комбинации с другими препаратами
A06AB57;Сенна в комбинации с другими препаратами
A06AB58;Натрия пикосульфат в комбинации с другими препаратами
A06AC;Слабительные препараты, увеличивающие объем кишечного содержимого
A06AC01;Ispaghula (psylla seeds)
A06AC02;Ethulose
A06AC03;Sterculia
A06AC05;Linseed
A06AC06;Methylcellulose
A06AC07;Тритиций (пшеничная клетчатка)
A06AC08;Polycarbophil calcium
A06AC51;Шелуха семян подорожника блошного в комбинации с другими препаратами
A06AC53;Стеркулиа в комбинации с другими препаратами
A06AC55;Семя льна в комбинации с другими препаратами
A06AD;Слабительные препараты с осмотическими свойствами
A06AD01;Magnesium carbonate
A06AD02;Magnesium oxide
A06AD03;Magnesium peroxide
A06AD04;Magnesium sulfate
A06AD10;Комбинация минеральных солей
A06AD11;Lactulose
A06AD12;Lactitol
A06AD13;Sodium sulfate
A06AD14;Pentaerithrityl
A06AD15;Macrogol
A06AD16;Mannitol
A06AD17;Sodium phosphate
A06AD18;Sorbitol
A06AD19;Magnesium citrate
A06AD21;Sodium tartrate
A06AD61;Лактулоза в комбинации с другими препаратами
