Код диагноза,Название диагноза,Код родителя
A00-B99,НЕКОТОРЫЕ ИНФЕКЦИОННЫЕ И ПАРАЗИТАРНЫЕ БОЛЕЗНИ (A00-B99),
A00-A09,КИШЕЧНЫЕ ИНФЕКЦИИ (A00-A09),A00-B99
A00,Холера,A00-A09
A00.0,"Холера, вызванная холерным вибрионом 01, биовар cholerae",A00
A00.1,"Холера, вызванная холерным вибрионом 01, биовар eltor",A00
A00.9,Холера неуточненная,A00
A01,Тиф и паратиф,A00-A09
A01.0,Брюшной тиф,A01
A01.1,Паратиф A,A01
A01.2,Паратиф B,A01
A01.3,Паратиф C,A01
A01.4,Паратиф неуточненный,A01
A02,Другие сальмонеллезные инфекции,A00-A09
A02.0,Сальмонеллезный энтерит,A02
A02.1,Сальмонеллезная септицемия,A02
A02.2,Локализованная сальмонеллезная инфекция,A02
A02.8,Другая уточненная сальмонеллезная инфекция,A02
A02.9,Сальмонеллезная инфекция неуточненная,A02
A03,Шигеллез,A00-A09
A03.0,"Шигеллез, вызванный Shigella dysenteriae",A03
A03.1,"Шигеллез, вызванный Shigella flexneri",A03
A03.2,"Шигеллез, вызванный Shigella boydii",A03
A03.3,"Шигеллез, вызванный Shigella sonnei",A03
A03.8,Другой шигеллез,A03
A03.9,Шигеллез неуточненный,A03
A04,Другие бактериальные кишечные инфекции,A00-A09
A04.0,"Энтеропатогенная инфекция, вызванная Escherichia coli",A04
A04.1,"Энтеротоксигенная инфекция, вызванная Escherichia coli",A04
A04.2,"Энтероинвазивная инфекция, вызванная Escherichia coli",A04
A04.3,"Энтерогеморрагическая инфекция, вызванная Escherichia coli",A04
A04.4,"Другие кишечные инфекции, вызванные Escherichia coli",A04
A04.5,"Энтерит, вызванный Campylobacter",A04
A04.6,"Энтерит, вызванный Yersinia enterocolitica",A04
A04.7,"Энтероколит, вызванный Clostridium difficile",A04
A04.8,Другие уточненные бактериальные кишечные инфекции,A04
A04.9,Бактериальная кишечная инфекция неуточненная,A04
A05,Другие бактериальные пищевые отравления,A00-A09
A05.0,Стафилококковое пищевое отравление,A05
A05.1,Ботулизм,A05
A05.2,"Пищевое отравление, вызванное Clostridium perfringens [Clostridium weichii] ",A05
A05.3,"Пищевое отравление, вызванное Vibrio parahaemolyticus",A05
A05.4,"Пищевое отравление, вызванное Bacillus cereus",A05
A05.8,Другие уточненные бактериальные пищевые отравления,A05
A05.9,Бактериальное пищевое отравление неуточненное,A05
A06,Амебиаз,A00-A09
A06.0,Острая амебная дизентерия,A06
A06.1,Хронический кишечный амебиаз,A06
A06.2,Амебный недизентерийный колит,A06
A06.3,Амебома кишечника,A06
A06.4,Амебный абсцесс печени,A06
A06.5,Амебный абсцесс легкого (J99.8*),A06
A06.6,Амебный абсцесс головного мозга (G07*),A06
A06.7,Кожный амебиаз,A06
A06.8,Амебная инфекция другой локализации,A06
A06.9,Амебиаз неуточненный,A06
A07,Другие протозойные кишечные болезни,A00-A09
A07.0,Балантидиаз,A07
A07.1,Жиардиаз [лямблиоз],A07
A07.2,Криптоспоридиоз,A07
A07.3,Изоспороз,A07
A07.8,Другие уточненные протозойные кишечные болезни,A07
A07.9,Протозойная кишечная болезнь неуточненная,A07
A08,Вирусные и другие уточненные кишечные инфекции,A00-A09
A08.0,Ротавирусный энтерит,A08
A08.1,"Острая гастроэнтеропатия, вызванная возбудителем Норволк",A08
A08.2,Аденовирусный энтерит,A08
A08.3,Другие вирусные энтериты,A08
A08.4,Вирусная кишечная инфекция неуточненная,A08
A08.5,Другие уточненные кишечные инфекции,A08
A09,Диарея и гастроэнтерит предположительно инфекционного происхождения,A00-A09
A09.0,Другой и неуточненный гастроэнтерит и колит инфекционного происхождения,A09
A09.9,Гастроэнтерит и колит неуточненного происхождения,A09
